USE_MM,SBWY_ROUT_LN_NM,STTN,JOB_YMD,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE
202308,2호선,왕십리(성동구청),20230903,875.0,5.0,6808.0,989.0,9951.0,7209.0,25250.0,13456.0,43515.0,26396.0,27946.0,18335.0,18203.0,14913.0,18022.0,15801.0,20514.0,17817.0,21239.0,18533.0,20694.0,18781.0,23011.0,20762.0,28101.0,24524.0,31725.0,34141.0,34176.0,54930.0,21084.0,32548.0,20275.0,20693.0,23502.0,18191.0,23074.0,17882.0,12389.0,11369.0,2276.0,4711.0,1.0,20.0,0.0,0.0,0.0,0.0
202308,2호선,뚝섬,20230903,12.0,1.0,3403.0,2603.0,8217.0,16628.0,17899.0,41253.0,25905.0,136751.0,16691.0,92560.0,14463.0,41709.0,16428.0,33968.0,20173.0,35628.0,24367.0,37058.0,28672.0,32523.0,36776.0,32621.0,48355.0,34935.0,76820.0,39159.0,133696.0,47887.0,65304.0,27965.0,46158.0,15131.0,40747.0,12677.0,27061.0,11502.0,10298.0,7131.0,1630.0,2543.0,0.0,69.0,0.0,0.0,0.0,0.0
202308,2호선,성수,20230903,90.0,0.0,5402.0,3590.0,9575.0,31594.0,22453.0,75180.0,30559.0,258451.0,23178.0,150230.0,20825.0,72619.0,24411.0,58674.0,30583.0,62423.0,38049.0,64865.0,45064.0,61423.0,57729.0,59753.0,74144.0,61256.0,131346.0,64801.0,246541.0,72344.0,114450.0,42713.0,80695.0,21424.0,70714.0,16111.0,49768.0,13820.0,20366.0,10418.0,2981.0,5324.0,5.0,885.0,0.0,1.0,0.0,0.0
202308,3호선,옥수,20230903,247.0,15.0,3071.0,982.0,9792.0,4852.0,22611.0,7535.0,29877.0,13286.0,21236.0,11014.0,14673.0,8362.0,13133.0,9400.0,12914.0,10526.0,13090.0,12012.0,12660.0,12602.0,13037.0,14875.0,14735.0,17682.0,16317.0,24351.0,16398.0,32644.0,10986.0,23846.0,8860.0,15819.0,7845.0,14238.0,5441.0,13639.0,2289.0,6717.0,424.0,1687.0,1.0,0.0,0.0,0.0,0.0,0.0
202308,5호선,행당,20230903,25.0,1.0,4493.0,738.0,12303.0,2642.0,31626.0,4995.0,42450.0,8698.0,21028.0,6622.0,13556.0,5352.0,11662.0,6254.0,11689.0,7158.0,10622.0,7855.0,9268.0,9575.0,9805.0,11341.0,9608.0,14428.0,10258.0,19193.0,10120.0,32490.0,6456.0,20231.0,4757.0,12967.0,3816.0,12405.0,3010.0,10978.0,1091.0,6373.0,231.0,1818.0,0.0,0.0,0.0,0.0,0.0,0.0
202308,5호선,왕십리(성동구청),20230903,33.0,0.0,2312.0,389.0,2232.0,2934.0,5950.0,6512.0,8654.0,17610.0,5256.0,9192.0,4738.0,7039.0,5168.0,7541.0,5758.0,7714.0,6230.0,8399.0,7163.0,7949.0,7457.0,7963.0,9343.0,9026.0,10539.0,11618.0,14843.0,17580.0,8232.0,9103.0,7528.0,5538.0,7865.0,4556.0,6875.0,4041.0,2789.0,2621.0,488.0,1779.0,0.0,240.0,0.0,0.0,0.0,0.0
202308,경원선,옥수,20230903,0.0,0.0,1.0,33.0,11.0,87.0,51.0,17.0,184.0,324.0,40.0,27.0,50.0,158.0,22.0,199.0,8.0,74.0,20.0,23.0,26.0,10.0,19.0,12.0,366.0,57.0,400.0,107.0,67.0,33.0,378.0,30.0,63.0,16.0,48.0,12.0,19.0,7.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202308,경원선,응봉,20230903,161.0,0.0,1459.0,236.0,2958.0,1103.0,7218.0,1421.0,7284.0,2146.0,4932.0,1430.0,3561.0,1386.0,2887.0,1364.0,2577.0,1538.0,2566.0,1902.0,2277.0,2327.0,2374.0,2444.0,2586.0,3473.0,2680.0,4119.0,2432.0,5133.0,1578.0,4883.0,1236.0,3001.0,1049.0,2640.0,855.0,2430.0,285.0,1482.0,23.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0
202308,경원선,왕십리(성동구청),20230903,865.0,10.0,5985.0,1326.0,9170.0,6982.0,28582.0,12848.0,43106.0,21849.0,26862.0,17825.0,18038.0,19696.0,17809.0,22103.0,21889.0,24207.0,23789.0,26023.0,24982.0,26357.0,26843.0,28825.0,31149.0,33639.0,36128.0,46498.0,34716.0,68011.0,26894.0,46972.0,26327.0,28330.0,28472.0,22950.0,26601.0,22238.0,11985.0,11167.0,1256.0,4473.0,1.0,1.0,0.0,0.0,0.0,0.0
202308,분당선,서울숲,20230903,143.0,0.0,2613.0,643.0,5062.0,6180.0,12599.0,24504.0,22047.0,46160.0,14612.0,37339.0,8959.0,23104.0,10068.0,20540.0,12707.0,21458.0,14840.0,22711.0,17218.0,21027.0,21617.0,20308.0,27691.0,21309.0,45094.0,24661.0,54707.0,30968.0,32586.0,19323.0,23546.0,9913.0,19579.0,7938.0,12029.0,7161.0,3367.0,3481.0,106.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0
